filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG_6562.JPG,7956072,"{}",2,0,"{""name"":""rect"",""x"":2622,""y"":2366,""width"":533,""height"":317}","{}"
IMG_6562.JPG,7956072,"{}",2,1,"{""name"":""rect"",""x"":2872,""y"":2063,""width"":330,""height"":236}","{}"
IMG_6563.JPG,7964395,"{}",3,0,"{""name"":""rect"",""x"":1847,""y"":2582,""width"":1099,""height"":708}","{}"
IMG_6563.JPG,7964395,"{}",3,1,"{""name"":""rect"",""x"":3081,""y"":2312,""width"":364,""height"":169}","{}"
IMG_6563.JPG,7964395,"{}",3,2,"{""name"":""rect"",""x"":2056,""y"":3553,""width"":263,""height"":431}","{}"
IMG_6564.JPG,7913986,"{}",3,0,"{""name"":""rect"",""x"":1827,""y"":2582,""width"":1126,""height"":721}","{}"
IMG_6564.JPG,7913986,"{}",3,1,"{""name"":""rect"",""x"":3074,""y"":2312,""width"":371,""height"":169}","{}"
IMG_6564.JPG,7913986,"{}",3,2,"{""name"":""rect"",""x"":2063,""y"":3566,""width"":263,""height"":425}","{}"
IMG_6565.JPG,7646517,"{}",3,0,"{""name"":""rect"",""x"":3088,""y"":2306,""width"":351,""height"":169}","{}"
IMG_6565.JPG,7646517,"{}",3,1,"{""name"":""rect"",""x"":1834,""y"":2582,""width"":1119,""height"":715}","{}"
IMG_6565.JPG,7646517,"{}",3,2,"{""name"":""rect"",""x"":2056,""y"":3553,""width"":270,""height"":431}","{}"
Reference.JPG,7949732,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[1928,2447,2447,3647,4106,4031,4497,5373,5387,1045,1564,1712,1894],""all_points_y"":[1975,2009,1948,1948,2555,3020,3708,3613,3951,3937,2467,2461,2292]}","{}"
