filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG_6551.JPG,8254016,"{}",2,0,"{""name"":""rect"",""x"":3593,""y"":2643,""width"":587,""height"":445}","{}"
IMG_6551.JPG,8254016,"{}",2,1,"{""name"":""rect"",""x"":4288,""y"":3560,""width"":748,""height"":418}","{}"
IMG_6552.JPG,8337422,"{}",2,0,"{""name"":""rect"",""x"":3593,""y"":2629,""width"":580,""height"":438}","{}"
IMG_6552.JPG,8337422,"{}",2,1,"{""name"":""rect"",""x"":4274,""y"":3580,""width"":796,""height"":404}","{}"
IMG_6553.JPG,8268923,"{}",2,0,"{""name"":""rect"",""x"":3613,""y"":2643,""width"":566,""height"":431}","{}"
IMG_6553.JPG,8268923,"{}",2,1,"{""name"":""rect"",""x"":4281,""y"":3587,""width"":769,""height"":398}","{}"
IMG_6554.JPG,7953924,"{}",2,0,"{""name"":""rect"",""x"":4281,""y"":3573,""width"":762,""height"":418}","{}"
IMG_6554.JPG,7953924,"{}",2,1,"{""name"":""rect"",""x"":2285,""y"":2225,""width"":1888,""height"":1753}","{}"
IMG_6555.JPG,7504138,"{}",2,0,"{""name"":""rect"",""x"":2279,""y"":2218,""width"":1894,""height"":1766}","{}"
IMG_6555.JPG,7504138,"{}",2,1,"{""name"":""rect"",""x"":4288,""y"":3573,""width"":748,""height"":418}","{}"
IMG_6556.JPG,7658906,"{}",4,0,"{""name"":""rect"",""x"":2649,""y"":2906,""width"":371,""height"":674}","{}"
IMG_6556.JPG,7658906,"{}",4,1,"{""name"":""rect"",""x"":3593,""y"":2649,""width"":580,""height"":418}","{}"
IMG_6556.JPG,7658906,"{}",4,2,"{""name"":""rect"",""x"":4274,""y"":3566,""width"":769,""height"":425}","{}"
IMG_6556.JPG,7658906,"{}",4,3,"{""name"":""rect"",""x"":155,""y"":2656,""width"":1692,""height"":1058}","{}"
IMG_6557.JPG,7812083,"{}",4,0,"{""name"":""rect"",""x"":3607,""y"":2649,""width"":560,""height"":425}","{}"
IMG_6557.JPG,7812083,"{}",4,1,"{""name"":""rect"",""x"":4294,""y"":3573,""width"":748,""height"":411}","{}"
IMG_6557.JPG,7812083,"{}",4,2,"{""name"":""rect"",""x"":2029,""y"":2474,""width"":1133,""height"":1099}","{}"
IMG_6557.JPG,7812083,"{}",4,3,"{""name"":""rect"",""x"":169,""y"":2663,""width"":1679,""height"":1058}","{}"
IMG_6558.JPG,7637914,"{}",5,0,"{""name"":""rect"",""x"":3593,""y"":2643,""width"":580,""height"":431}","{}"
IMG_6558.JPG,7637914,"{}",5,1,"{""name"":""rect"",""x"":4281,""y"":3546,""width"":748,""height"":438}","{}"
IMG_6558.JPG,7637914,"{}",5,2,"{""name"":""rect"",""x"":2879,""y"":3465,""width"":849,""height"":519}","{}"
IMG_6558.JPG,7637914,"{}",5,3,"{""name"":""rect"",""x"":2029,""y"":2467,""width"":1153,""height"":870}","{}"
IMG_6558.JPG,7637914,"{}",5,4,"{""name"":""rect"",""x"":148,""y"":2656,""width"":1699,""height"":1058}","{}"
IMG_6559.JPG,7719723,"{}",5,0,"{""name"":""rect"",""x"":3580,""y"":2629,""width"":600,""height"":458}","{}"
IMG_6559.JPG,7719723,"{}",5,1,"{""name"":""rect"",""x"":4281,""y"":3560,""width"":769,""height"":425}","{}"
IMG_6559.JPG,7719723,"{}",5,2,"{""name"":""rect"",""x"":2865,""y"":3479,""width"":849,""height"":506}","{}"
IMG_6559.JPG,7719723,"{}",5,3,"{""name"":""rect"",""x"":2022,""y"":2474,""width"":1146,""height"":863}","{}"
IMG_6559.JPG,7719723,"{}",5,4,"{""name"":""rect"",""x"":155,""y"":2656,""width"":1699,""height"":1058}","{}"
IMG_6560.JPG,7667468,"{}",3,0,"{""name"":""rect"",""x"":3600,""y"":2656,""width"":580,""height"":425}","{}"
IMG_6560.JPG,7667468,"{}",3,1,"{""name"":""rect"",""x"":2858,""y"":3472,""width"":849,""height"":512}","{}"
IMG_6560.JPG,7667468,"{}",3,2,"{""name"":""rect"",""x"":4294,""y"":3573,""width"":728,""height"":418}","{}"
Reference.JPG,8144468,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[2063,303,270,40,27,5946,5933,4942,4935,4112,2258],""all_points_y"":[2440,2852,3216,3243,3964,3964,3094,2690,2609,2144,2757]}","{}"
